Ticker,SimFinId,Date,Close,Volume,Shares Outstanding,Company Name,day_of_week,month,quarter,year,daily_return,ema_20,next_day_return,target_class,next_day_price
AAPL,111052,2019-04-01,47.81,111447856,18429136000.0,APPLE INC,0,4,2,2019,0.6738260686460313,47.520476190476195,1.4641288433382047,1,48.51
AAPL,111052,2019-04-02,48.51,91062928,18429136000.0,APPLE INC,1,4,2,2019,1.4641288433382047,47.614716553287984,0.6802721088435486,1,48.84
AAPL,111052,2019-04-03,48.84,93087320,18429136000.0,APPLE INC,2,4,2,2019,0.6802721088435486,47.7314102148796,0.1638001638001603,1,48.92
AAPL,111052,2019-04-04,48.92,76457100,18429136000.0,APPLE INC,3,4,2,2019,0.1638001638001603,47.844609242033926,0.674570727718721,1,49.25
AAPL,111052,2019-04-05,49.25,74106576,18429136000.0,APPLE INC,4,4,2,2019,0.674570727718721,47.97845598088784,1.5634517766497527,1,50.02
AAPL,111052,2019-04-08,50.02,103526788,18429136000.0,APPLE INC,0,4,2,2019,1.5634517766497527,48.172888744612806,-0.2798880447820883,0,49.88
AAPL,111052,2019-04-09,49.88,143072948,18429136000.0,APPLE INC,1,4,2,2019,-0.2798880447820883,48.335470768935394,0.5613472333600522,1,50.16
AAPL,111052,2019-04-10,50.16,86781152,18429136000.0,APPLE INC,2,4,2,2019,0.5613472333600522,48.50923545760821,-0.8373205741626687,0,49.74
AAPL,111052,2019-04-11,49.74,83603232,18429136000.0,APPLE INC,3,4,2,2019,-0.8373205741626687,48.62645112831219,-0.04020908725372562,0,49.72
AAPL,111052,2019-04-12,49.72,111042672,18429136000.0,APPLE INC,4,4,2,2019,-0.04020908725372562,48.73059863990151,0.18101367658890472,1,49.81
AAPL,111052,2019-04-15,49.81,70146584,18429136000.0,APPLE INC,0,4,2,2019,0.18101367658890472,48.8333987694347,0.0,0,49.81
AAPL,111052,2019-04-16,49.81,102785540,18429136000.0,APPLE INC,1,4,2,2019,0.0,48.92640841044092,1.947400120457737,1,50.78
